Heading ,Detail,article link: https://en.wikipedia.org/wiki/Pakistan article name: Pakistan
"Following the decline of the Indus valley civilization, Indo-Aryan tribes moved into the Punjab from Central Asia in several waves of migration in the Vedic Period (1500–500 BCE), bringing with them their distinctive religious traditions and practices which fused with local culture.[47] The Indo-Aryans religious beliefs and practices from the Bactria–Margiana culture and the native Harappan Indus beliefs of the former Indus Valley Civilization eventually gave rise to Vedic culture and tribes.[48][note 1] Most notable among them was Gandhara civilization, which flourished at the crossroads of India, Central Asia, and the Middle East, connecting trade routes and absorbing cultural influences from diverse civilizations.[50] The initial early Vedic culture was a tribal, pastoral society centered in the Indus Valley, of what is today Pakistan. During this period the Vedas, the oldest scriptures of Hinduism, were composed.[note 2]
",,
"The western regions of Pakistan became part of Achaemenid Empire  around 519 BCE. In 326 BCE, Alexander the Great conquered the region by defeating various local rulers, most notably, the King Porus, at Jhelum.[52] It was followed by the Maurya Empire, founded by Chandragupta Maurya and extended by Ashoka the Great, until 185 BCE. The Indo-Greek Kingdom founded by Demetrius of Bactria (180–165 BCE) included Gandhara and Punjab and reached its greatest extent under Menander (165–150 BCE), prospering the Greco-Buddhist culture in the region.[53][54] Taxila had one of the earliest universities and centres of higher education in the world, which was established during the late Vedic period in the 6th century BCE.[55][56] The school consisted of several monasteries without large dormitories or lecture halls where the religious instruction was provided on an individualistic basis.[56] The ancient university was documented by the invading forces of Alexander the Great and was also recorded by Chinese pilgrims in the 4th or 5th century CE.[57]
",,
"At its zenith, the Rai dynasty (489–632 CE) ruled Sindh and the surrounding territories.[58]
",,
"The Arab conqueror Muhammad ibn Qasim conquered Sindh and some regions of Punjab in 711 CE.[59][60] The Pakistan government's official chronology claims this as the time when the foundation of Pakistan was laid[59][61] but the concept of Pakistan arrived in the 19th century. The Early Medieval period (642–1219 CE) witnessed the spread of Islam in the region. Before the arrival of Islam beginning in the 8th century, the region comprising Pakistan was home to a diverse plethora of faiths, including Hinduism, Buddhism, Jainism and Zoroastrianism.[62][63] During this period, Sufi missionaries played a pivotal role in converting a majority of the regional population to Islam.[64] Upon the defeat of the Turk and Hindu Shahi dynasties which governed the Kabul Valley, Gandhara (present-day Khyber Pakhtunkwa), and western Punjab in the 7th to 11th centuries CE, several successive Muslim empires ruled over the region, including the Ghaznavid Empire (975–1187 CE), the Ghorid Kingdom, and the Delhi Sultanate (1206–1526 CE). The Lodi dynasty, the last of the Delhi Sultanate, was replaced by the Mughal Empire (1526–1857 CE).
",,
"The Mughals introduced Persian literature and high culture, establishing the roots of Indo-Persian culture in the region.[65] In the region of modern-day Pakistan, key cities during the Mughal period were Multan, Lahore, Peshawar and Thatta,[66] which were chosen as the site of impressive Mughal buildings.[67] In the early 16th century, the region remained under the Mughal Empire.[68] In the 18th century, the slow disintegration of the Mughal Empire was hastened by the emergence of the rival powers of the Maratha Confederacy and later the Sikh Empire, as well as invasions by Nader Shah from Iran in 1739 and the Durrani Empire of Afghanistan in 1759. The growing political power of the British in Bengal had not yet reached the territories of modern Pakistan.
",,
"None of modern Pakistan was under British rule until 1839 when Karachi, a small fishing village governed by Talpurs of Sindh with a mud fort guarding the harbour, was taken, and used as an enclave with a port and military base for the First Afghan War that ensued. The remainder of Sindh was acquired in 1843, and subsequently, through a series of wars and treaties, the East India Company, and later, after the post-Sepoy Mutiny (1857–1858), direct rule by Queen Victoria of the British Empire, acquired most of the region. Key conflicts included those against the Baloch Talpur dynasty, resolved by the Battle of Miani (1843) in Sindh, the Anglo-Sikh Wars (1845–1849), and the Anglo-Afghan Wars (1839–1919). By 1893, all modern Pakistan was part of the British Indian Empire, and remained so until independence in 1947.
",,
"Under British rule, modern Pakistan was primarily divided into the Sind Division, Punjab Province, and the Baluchistan Agency. The region also included various princely states, with the largest being Bahawalpur.
",,
"The major armed struggle against the British in the region was the rebellion known as the Sepoy Mutiny of Bengal in 1857.[69] Divergence in the relationship between Hinduism and Islam resulted in significant tension in British India, leading to religious violence.[70] The language controversy further exacerbated tensions between Hindus and Muslims.[71] The Hindu renaissance witnessed an intellectual awakening in traditional Hinduism, leading to increased influence in the social and political spheres of British India.[72] A Muslim intellectual movement, led by Sir Syed Ahmed Khan to counter the Hindu renaissance, advocated for the two-nation theory[73] and led to the establishment of the All-India Muslim League in 1906. Unlike the Indian National Congress's anti-British stance, the Muslim League embraced British values, shaping Pakistan's future society.[74] The largely non-violent independence movement, led by the Indian National Congress under Mahatma Gandhi, engaged millions in mass campaigns of civil disobedience in the 1920s and 1930s against the British Empire.[75][76]
",,
"The Muslim League gained momentum in the 1930s due to concerns about British neglect of Indian Muslims in politics. In his December 29, 1930 address, Allama Iqbal advocated for the amalgamation of Muslim-majority states in North-West India, including Punjab, North-West Frontier Province, Sind, and Baluchistan.[77] The perception of Congress-led British provincial governments neglecting Muslim interests from 1937 to 1939 prompted Muhammad Ali Jinnah, the founder of Pakistan, to advocate the two-nation theory. This led to the adoption of the Lahore Resolution of 1940, presented by Sher-e-Bangla A.K. Fazlul Haque, also known as the Pakistan Resolution.[73] During World War II, Jinnah and other British-educated leaders in the Muslim League supported the UK's war efforts, aligning with Sir Syed's vision of the Two-nation theory.[78]
",,
"The 1946 elections saw the Muslim League secure 90 percent of the Muslim seats, making it a de facto plebiscite for the creation of Pakistan, supported by the landowners of Sindh and Punjab. This forced the Indian National Congress, initially skeptical of the League's representation of Indian Muslims, to acknowledge its significance.[79][80] Jinnah's emergence as the voice of all Indian Muslims compelled the British to consider his stance, despite their reluctance to partition India. In a final attempt to prevent partition, they proposed the Cabinet Mission Plan.[81]
",,
"As the Cabinet Mission failed, the British announced their intention to end rule in 1946–47.[82] Nationalists in British India—including Jawaharlal Nehru and Abul Kalam Azad of Congress, Jinnah of the All-India Muslim League, and Master Tara Singh representing the Sikhs—agreed to the proposed terms of transfer of power and independence in June 1947 with the Viceroy of India, Lord Mountbatten of Burma.[83] As the United Kingdom agreed to the partitioning of India in 1947, the modern state of Pakistan was established on 14 August 1947 (27th of Ramadan in 1366 of the Islamic Calendar), amalgamating the Muslim-majority eastern and northwestern regions of British India.[76] It comprised the provinces of Balochistan, East Bengal, the North-West Frontier Province, West Punjab, and Sindh.[73][83]
",,
"In the riots that accompanied the partition in Punjab Province, between 200,000 and 2,000,000[84] people were killed in what some have described as a retributive genocide between the religions.[85] Around 50,000 Muslim women were abducted and raped by Hindu and Sikh men, while 33,000 Hindu and Sikh women experienced the same fate at the hands of Muslims.[86] Around 6.5 million Muslims moved from India to West Pakistan and 4.7 million Hindus and Sikhs moved from West Pakistan to India.[87] It was the largest mass migration in human history.[88] A subsequent dispute over the princely state of Jammu and Kashmir eventually sparked the Indo-Pakistani War of 1947–1948.[89]
",,
"After independence in 1947, Jinnah, the President of the Muslim League, became Pakistan's first Governor-General and the first President-Speaker of the Parliament, but he succumbed to tuberculosis on 11 September 1948.[90] Meanwhile, Pakistan's founding fathers agreed to appoint Liaquat Ali Khan, the secretary-general of the party, the nation's first Prime Minister. From 1947 to 1956, Pakistan was a monarchy within the Commonwealth of Nations, and had two monarchs before it became a republic.[91]
",,
"The creation of Pakistan was never fully accepted by many British leaders including Lord Mountbatten.[92] Mountbatten expressed his lack of support and faith in the Muslim League's idea of Pakistan.[93] Jinnah refused Mountbatten's offer to serve as Governor-General of Pakistan.[94] When Mountbatten was asked by Collins and Lapierre if he would have sabotaged Pakistan had he known that Jinnah was dying of tuberculosis, he replied 'most probably'.[95]
",,
"""You are free; you are free to go to your temples, you are free to go to your mosques or to any other place of worship in this State of Pakistan. You may belong to any religion or caste or creed – that has nothing to do with the business of the State.""
",,
"—Muhammad Ali Jinnah's first speech to the Constituent Assembly of Pakistan[96]
",,
"Maulana Shabbir Ahmad Usmani, a respected Deobandi alim (scholar) who held the position of Shaykh al-Islam in Pakistan in 1949, and Maulana Mawdudi of Jamaat-i-Islami played key roles in advocating for an Islamic constitution. Mawdudi insisted that the Constituent Assembly declare the ""supreme sovereignty of God"" and the supremacy of the shariah in Pakistan.[97]
",,
"The efforts of Jamaat-i-Islami and the ulama led to the passage of the Objectives Resolution in March 1949. This resolution, described by Liaquat Ali Khan as the second most significant step in Pakistan's history, affirmed that ""sovereignty over the entire universe belongs to God Almighty alone and the authority which He has delegated to the State of Pakistan through its people for being exercised within the limits prescribed by Him is a sacred trust"". It was later included as a preamble to the constitutions of 1956, 1962, and 1973.[98]
",,
"Democracy faced setbacks due to the martial law imposed by President Iskander Mirza, who was succeeded by General Ayub Khan. After adopting a presidential system in 1962, Pakistan witnessed significant growth until the second war with India in 1965, resulting in an economic downturn and widespread public discontent in 1967.[99][100] In 1969, President Yahya Khan consolidated control, but faced a devastating cyclone in East Pakistan resulting in 500,000 deaths.[101]
",,
"In 1970, Pakistan conducted its first democratic elections since independence, intending to transition from military rule to democracy. However, after the East Pakistani Awami League emerged victorious over the Pakistan Peoples Party (PPP), Yahya Khan and the military refused to transfer power.[102][103] This led to Operation Searchlight, a military crackdown, and eventually sparked the war of liberation by Bengali Mukti Bahini forces in East Pakistan,[103][104] described in West Pakistan as a civil war rather than a liberation struggle.[105]
",,
"Independent researchers estimate that between 300,000 and 500,000 civilians died during this period while the Bangladesh government puts the number of dead at three million,[106] a figure that is now nearly universally regarded as excessively inflated.[107] Some academics such as Rudolph Rummel and Rounaq Jahan say both sides[108] committed genocide; others such as Richard Sisson and Leo E. Rose believe there was no genocide.[109] In response to India's support for the insurgency in East Pakistan, preemptive strikes on India by Pakistan's air force, navy, and marines sparked a conventional war in 1971 that resulted in an Indian victory and East Pakistan gaining independence as Bangladesh.[103]
",,
"With Pakistan surrendering in the war, Yahya Khan was replaced by Zulfikar Ali Bhutto as president; the country worked towards promulgating its constitution and putting the country on the road to democracy. Democratic rule resumed from 1972 to 1977—an era of self-consciousness, intellectual leftism, nationalism, and nationwide reconstruction.[110] In 1972 Pakistan embarked on an ambitious plan to develop its nuclear deterrence capability with the goal of preventing any foreign invasion; the country's first nuclear power plant was inaugurated in that same year.[111][112] Accelerated in response to India's first nuclear test in 1974, this crash program was completed in 1979.[112]
",,
"Democracy ended with a military coup in 1977 against the leftist PPP, which saw General Zia-ul-Haq become the president in 1978. From 1977 to 1988, President Zia's corporatisation and economic Islamisation initiatives led to Pakistan becoming one of the fastest-growing economies in South Asia.[113] While building up the country's nuclear program, increasing Islamisation,[114] and the rise of a homegrown conservative philosophy, Pakistan helped subsidise and distribute US resources to factions of the mujahideen against the USSR's intervention in communist Afghanistan.[115] Pakistan's North-West Frontier Province became a base for the anti-Soviet Afghan fighters, with the province's influential Deobandi ulama playing a significant role in encouraging and organising the 'jihad'.[116]
",,
"President Zia died in a plane crash in 1988, and Benazir Bhutto, daughter of Zulfikar Ali Bhutto, was elected as the country's first female Prime Minister. The PPP was followed by conservative Pakistan Muslim League (N), and over the next decade the leaders of the two parties fought for power, alternating in office. This period is marked by prolonged stagflation, instability, corruption, nationalism, geopolitical rivalry with India, and the clash of left wing-right wing ideologies.[117] As PML (N) secured a supermajority in elections in 1997, Nawaz Sharif authorised nuclear testings, as a retaliation to the second nuclear tests conducted by India in May 1998.[118]
",,
"Military tension between the two countries in the Kargil district led to the Kargil War of 1999, and turmoil in civic-military relations allowed General Pervez Musharraf to take over through a bloodless coup d'état.[119][120] Musharraf governed Pakistan as chief executive from 1999 to 2001 and as President from 2001 to 2008—a period of enlightenment, social liberalism, extensive economic reforms,[121] and direct involvement in the US-led war on terrorism. By its own financial calculations, Pakistan's involvement in the war on terrorism has cost up to $118 billion,[122] sixty thousand casualties and more than 1.8 million displaced civilians.[123]
",,
"The National Assembly historically completed its first full five-year term on 15 November 2007.[124] After the assassination of Benazir Bhutto in 2007, the PPP secured the most votes in the elections of 2008, appointing party member Yousaf Raza Gillani as Prime Minister.[125] Threatened with impeachment, President Musharraf resigned on 18 August 2008, and was succeeded by Asif Ali Zardari.[126] Clashes with the judicature prompted Gillani's disqualification from the Parliament and as the Prime Minister in June 2012.[127] The general election held in 2013 saw the PML (N) almost achieve a supermajority, following which Nawaz Sharif was elected as the Prime Minister for the third time.[128] In 2018, PTI won the general election and Imran Khan became the 22nd Prime Minister.[129] In April 2022, Shehbaz Sharif was elected as prime minister, after Imran Khan lost a no-confidence vote.[130]
",,
"Pakistan, the only country established in the name of Islam,[131] had overwhelming support among Muslims, especially in provinces like the United Provinces, where Muslims were a minority.[132] This idea, articulated by the Muslim League, the Islamic clergy, and Jinnah, envisioned an Islamic state.[133] Jinnah, closely associated with the ulama, was described upon his death by Maulana Shabbir Ahmad Usmani as the greatest Muslim after Aurangzeb, aspiring to unite Muslims worldwide under Islam.[134]
",,
"The Objectives Resolution of March 1949 marked the initial step towards this goal, affirming God as the sole sovereign.[135][98] Muslim League leader Chaudhry Khaliquzzaman asserted that Pakistan could only truly become an Islamic state after bringing all believers of Islam into a single political unit.[136] Keith Callard observed that Pakistanis believed in the essential unity of purpose and outlook in the Muslim world, expecting similar views on religion and nationality from Muslims worldwide.[137]
",,
"Pakistan's desire for a united Islamic bloc, called Islamistan, wasn't supported by other Muslim governments,[138] though figures like the Grand Mufti of Palestine, Al-Haj Amin al-Husseini, and leaders of the Muslim Brotherhood were drawn to the country. Pakistan's desire for an international organization of Muslim countries was fulfilled in the 1970s when the Organization of Islamic Conference (OIC) was formed.[139] East Pakistan's Bengali Muslims, opposed to an Islamist state, clashed with West Pakistanis who leaned towards Islamic identity.[140][141] The Islamist party Jamaat-e-Islami backed an Islamic state and opposed Bengali nationalism.[142]
",,
"After the 1970 general elections, the Parliament crafted the 1973 Constitution.[143] It declared Pakistan an Islamic Republic, with Islam as the state religion, and mandated laws to comply with Islamic teachings laid down in the Quran and Sunnah and that no law repugnant to such injunctions could be enacted.[144] Additionally, it established institutions like the Shariat Court and the Council of Islamic Ideology to interpret and apply Islam.[145]
",,
"Zulfikar Ali Bhutto faced opposition under the banner of Nizam-e-Mustafa (""Rule of the Prophet""),[146] advocating an Islamic state. Bhutto conceded to some Islamist demands before being ousted in a coup.[147]
",,
"General Zia-ul-Haq, after seizing power, committed to establishing an Islamic state and enforcing sharia law.[147] He instituted Shariat judicial courts[148] and court benches[149] to adjudicate using Islamic doctrine.[150] Zia aligned with Deobandi institutions,[151] exacerbating sectarian tensions with anti-Shia policies.[152]
",,
"Most Pakistanis, according to a Pew Research Center (PEW) poll, favor Sharia law as the official law,[153] and identify more with religion than nationality compared to Muslims in other nations such as Egypt, Indonesia and Jordan.[154]
",,
"Pakistan's diverse geography and climate host a wide array of wildlife.[155] Covering 881,913 km2 (340,509 sq mi), Pakistan's size is comparable to France and the UK combined. It ranks as the 33rd-largest nation by total area, but this varies based on Kashmir's disputed status. Pakistan boasts a 1,046 km (650 mi) coastline along the Arabian Sea and the Gulf of Oman,[156] and shares land borders totaling 6,774 km (4,209 mi), including 2,430 km (1,510 mi) with Afghanistan, 523 km (325 mi) with China, 2,912 km (1,809 mi) with India, and 909 km (565 mi) with Iran.[157] It has a maritime border with Oman,[158] and shares a border with Tajikistan via the Wakhan Corridor.[159] Situated at the crossroads of South Asia, the Middle East, and Central Asia,[160] Pakistan's location is geopolitically significant. Geologically, Pakistan straddles the Indus–Tsangpo Suture Zone and the Indian tectonic plate in Sindh and Punjab, while Balochistan and most of Khyber Pakhtunkhwa sit on the Eurasian plate, primarily on the Iranian plateau. Gilgit-Baltistan and Azad Kashmir, along the Indian plate's edge, are susceptible to powerful earthquakes.[161]
",,
"Pakistan's landscapes vary from coastal plains to glaciated mountains, offering deserts, forests, hills, and plateaus.[162] Pakistan is divided into three major geographic areas: the northern highlands, the Indus River plain, and the Balochistan Plateau.[163] The northern highlands feature the Karakoram, Hindu Kush, and Pamir mountain ranges, hosting some of the world's highest peaks, including five of the fourteen eight-thousanders (mountain peaks over 8,000 metres or 26,250 feet), notably K2 (8,611 m or 28,251 ft) and Nanga Parbat (8,126 m or 26,660 ft).[164] The Balochistan Plateau lies in the west and the Thar Desert in the east. The 1,609 km (1,000 mi) Indus River and its tributaries traverse the nation from Kashmir to the Arabian Sea, sustaining alluvial plains along the Punjab and Sindh regions.[165]
",,
"The climate varies from tropical to temperate, with arid conditions in the coastal south. There is a monsoon season with frequent flooding due to heavy rainfall, and a dry season with significantly less rainfall or none at all. Pakistan experiences four distinct seasons: a cool, dry winter from December through February; a hot, dry spring from March through May; the summer rainy season, or southwest monsoon period, from June through September; and the retreating monsoon period of October and November.[73] Rainfall varies greatly from year to year, with patterns of alternate flooding and drought common.[166]
",,
"The diverse landscape and climate in Pakistan support a wide range of trees and plants. From coniferous alpine and subalpine trees like spruce, pine, and deodar cedar in the northern mountains to deciduous trees like shisham in the Sulaiman Mountains, and palms such as coconut and date in the southern regions. The western hills boast juniper, tamarisk, coarse grasses, and scrub plants. Mangrove forests dominate the coastal wetlands in the south.[167] Coniferous forests span altitudes from 1,000 to 4,000 metres (3,300 to 13,100 feet) in most northern and northwestern highlands. In Balochistan's xeric regions, date palms and Ephedra are prevalent. In Punjab and Sindh's Indus plains, tropical and subtropical dry and moist broadleaf forests as well as tropical and xeric shrublands thrive.[168] Approximately 2.2% or 1,687,000 hectares (16,870 km2) of Pakistan was forested in 2010.[169]
",,
"Pakistan's fauna mirrors its diverse climate. The country boasts around 668 bird species,[171] including crows, sparrows, mynas, hawks, falcons, and eagles. Palas, Kohistan, is home to the western tragopan,[172] with many migratory birds visiting from Europe, Central Asia, and India.[173] The southern plains harbor mongooses, small Indian civet, hares, the Asiatic jackal, the Indian pangolin, the jungle cat, and the desert cat. Indus is home to mugger crocodiles, while surrounding areas host wild boars, deer, porcupines, and small rodents. Central Pakistan's sandy scrublands shelter Asiatic jackals, striped hyenas, wildcats, and leopards.[174][175] The mountainous north hosts a variety of animals like the Marco Polo sheep, urial, markhor goat, ibex goat, Asian black bear, and Himalayan brown bear.[174][176][177]
",,
"The lack of vegetative cover, severe climate, and grazing impact on deserts have endangered wild animals. The chinkara is the only animal found in significant numbers in Cholistan, with a few nilgai along the Pakistan–India border and in some parts of Cholistan.[174][178] Rare animals include the snow leopard and the blind Indus river dolphin, of which there are believed to be about 1,100 remaining, protected at the Indus River Dolphin Reserve in Sindh.[176][179] In total, 174 mammals, 177 reptiles, 22 amphibians, 198 freshwater fish species and 5,000 species of invertebrates (including insects) have been recorded in Pakistan.[171] Pakistan faces deforestation, hunting, and pollution, with a 2019 Forest Landscape Integrity Index mean score of 7.42/10, ranking 41st globally out of 172 countries.[180]
",,
"Pakistan operates as a democratic parliamentary federal republic, with Islam designated as the state religion.[5] Initially adopting a constitution in 1956, Pakistan saw it suspended by Ayub Khan in 1958, replaced by a second constitution in 1962.[76] A comprehensive constitution emerged in 1973, suspended by Zia-ul-Haq in 1977 but reinstated in 1985, shaping the country's governance.[157] The military's influence in mainstream politics has been significant throughout Pakistan's history.[76] The eras of 1958–1971, 1977–1988, and 1999–2008 witnessed military coups, leading to martial law and military leaders governing de facto as presidents.[181] Presently, Pakistan operates a multi-party parliamentary system with distinct checks and balances among government branches. The first successful democratic transition occurred in May 2013. Pakistani politics revolves around a blend of socialism, conservatism, and the third way, with the three main political parties being the conservative Pakistan Muslim League-N, socialist PPP, and centrist PTI. Constitutional amendments in 2010 curtailed presidential powers, enhancing the role of the prime minister.[182]
",,
"Since Independence, Pakistan has aimed to balance its foreign relations.[183] Pakistan's foreign policy and geostrategy focus on the economy, security, national identity, and territorial integrity, as well as building close ties with other Muslim nations.[184] According to Hasan Askari Rizvi, a foreign policy expert, ""Pakistan highlights sovereign equality of states, bilateralism, mutuality of interests, and non-interference in each other's domestic affairs as the cardinal features of its foreign policy.""[185]
",,
"The Kashmir conflict remains a major issue between Pakistan and India, with three of their four wars fought over it.[186] Due partly to strained relations with India, Pakistan has close ties with Turkey and Iran,[187] both focal points in its foreign policy.[187] Saudi Arabia also holds importance in Pakistan's foreign relations.
",,
"As a non-signatory of the Treaty on Nuclear Non-Proliferation, Pakistan holds influence in the IAEA.[188] In 2010, Pakistan blocked an international treaty to limit fissile material, arguing it targeted Pakistan specifically.[189] Pakistan's nuclear program in the 20th century aimed to counter India's nuclear ambitions in the region, and reciprocal nuclear tests ensued after India's nuclear tests, solidifying Pakistan as a nuclear power.[190] Pakistan maintains a policy of credible minimum deterrence, considering its nuclear program vital for deterring foreign aggression.[191][192]
",,
"Located strategically in the world's major maritime oil supply lines and communication fibre optics corridor, Pakistan enjoys proximity to the natural resources of Central Asian countries.[193] Pakistan actively participates in the United Nations with a Permanent Representative representing its positions in international politics.[194] It has advocated for the concept of ""enlightened moderation"" in the Muslim world.[195] Pakistan is a member of the Commonwealth of Nations,[196] SAARC, ECO,[197] and the G20 developing nations.[198]
",,
"Pakistan is designated as an ""Iron Brother"" by China,[199][200] emphasizing the significance of their close and supportive relationship.[201] In the 1950s, Pakistan opposed the Soviet Union for geopolitical reasons. During the Soviet–Afghan War in the 1980s, it was a close ally of the United States.[185][202] Relations with Russia have improved since 1999,[203] but Pakistan's relationship with the United States has been ""on-and-off."" Initially, Pakistan was a close ally during the Cold War, but relations soured in the 1990s due to US sanctions over its secretive nuclear program.[204] Since 9/11, Pakistan has been a US ally on counterterrorism, but their relationship has been strained due to diverging interests and mistrust during the 20-year war and terrorism issues.[205] Although Pakistan was granted major non-NATO ally status by the US in 2004,[206] its intelligence agency, including ISI, faced accusations of supporting Taliban insurgents until US troops withdrew from Afghanistan.[207][208][209]
",,
"Pakistan does not have formal diplomatic relations with Israel;[210] however, some Israeli citizens have visited Pakistan on tourist visas.[211] Nonetheless, an exchange occurred between the two countries using Turkey as an intermediary.[212] Despite not establishing formal diplomatic relations with Armenia, Pakistan is home to an Armenian community.[213]
",,
