Heading,Detail,,article link: https://en.wikipedia.org/wiki/Joseph_Stalin
"Stalin promoted Marxism–Leninism abroad through the Communist International and supported European anti-fascist movements during the 1930s, particularly in the Spanish Civil War. In 1939, his regime signed a non-aggression pact with Nazi Germany, resulting in the Soviet invasion of Poland. Germany ended the pact by invading the Soviet Union in 1941. Despite initial catastrophes, the Soviet Red Army repelled the German invasion and captured Berlin in 1945, ending World War II in Europe. Amid the war, the Soviets annexed the Baltic states and Bessarabia and North Bukovina, subsequently establishing Soviet-aligned governments throughout Central and Eastern Europe and in parts of East Asia. The Soviet Union and the United States emerged as global superpowers and entered a period of tension, the Cold War. Stalin presided over the Soviet post-war reconstruction and its development of an atomic bomb in 1949. During these years, the country experienced another major famine and an antisemitic campaign that culminated in the doctors' plot. After Stalin's death in 1953, he was eventually succeeded by Nikita Khrushchev, who subsequently denounced his rule and initiated the de-Stalinisation of Soviet society.
",,,
"Widely considered to be one of the 20th century's most significant figures, Stalin was the subject of a pervasive personality cult within the international Marxist–Leninist movement, which revered him as a champion of the working class and socialism. Since the dissolution of the Soviet Union in 1991, Stalin has retained popularity in Russia and Georgia as a victorious wartime leader who cemented the Soviet Union's status as a leading world power. Conversely, his totalitarian regime has been widely condemned for overseeing mass repression, ethnic cleansing, wide-scale deportation, hundreds of thousands of executions, and famines that killed millions.
",,,
"Stalin was born in Georgia in the town of Gori,[3] then part of the Tiflis Governorate of the Russian Empire and home to a mix of Georgians, Azerbaijanis, Armenians, Russians, and Jews.[4] He was born on 18 December [O.S. 6 December] 1878[5][i] and baptised on 29 December.[7] His birth name was Ioseb Besarionis dze Jughashvili,[d] and he was nicknamed ""Soso"", a diminutive of ""Ioseb"".[8] His parents were Besarion Jughashvili and Ekaterine Geladze.[9] He was their only child to survive past infancy.[10]
",,,
"Besarion was a cobbler who was employed in a workshop owned by another man;[11] it was initially a financial success but later fell into decline,[12] and the family found itself living in poverty.[13] Besarion became an alcoholic[14] and drunkenly beat his wife and son.[15] Ekaterine and Stalin left the home by 1883 and began a wandering life, moving through nine different rented rooms over the next decade.[16] In 1886, they moved into the house of a family friend, Father Christopher Charkviani.[17] Ekaterine worked as a house cleaner and launderer and was determined to send her son to school.[18] In September 1888, Stalin enrolled at the Orthodox Gori Church School,[19] a place secured by Charkviani.[20] Although he got into many fights,[21] Stalin excelled academically,[22] displaying talent in painting and drama classes,[23] writing his own poetry,[24] and singing as a choirboy.[25] Stalin faced several severe health problems: An 1884 smallpox infection left him with facial scars;[26] and at age 12 he was seriously injured when he was hit by a phaeton, probably the cause of a lifelong disability in his left arm.[27]
",,,
"In August 1894, Stalin enrolled in the Russian Orthodox Theological Seminary in Tiflis, enabled by a scholarship that allowed him to study at a reduced rate.[28] He joined 600 trainee priests who boarded there,[29] and he achieved high grades.[30] He continued writing poetry; five of his poems, on themes such as nature, land and patriotism, were published under the pseudonym of ""Soselo"" in Ilia Chavchavadze's newspaper Iveria (Georgia).[31] According to Stalin's biographer Simon Sebag Montefiore, they became ""minor Georgian classics""[32] and were included in various anthologies of Georgian poetry over the coming years.[32] As he grew older, Stalin lost interest in priestly studies, his grades dropped,[33] and he was repeatedly confined to a cell for his rebellious behaviour.[34] The seminary's journal noted that he declared himself an atheist, stalked out of prayers and refused to doff his hat to monks.[35]
",,,
"Stalin joined a forbidden book club at the school;[36] he was particularly influenced by Nikolay Chernyshevsky's 1863 pro-revolutionary novel What Is To Be Done?[37] Another influential text was Alexander Kazbegi's The Patricide, with Stalin adopting the nickname ""Koba"" from that of the book's bandit protagonist.[38] The pseudonym may also have been a tribute to his wealthy benefactor, Yakobi ""Koba"" Egnatashvili, who paid for his schooling at the Tiflis seminary. (""Koba"" is the Georgian diminutive of Yakobi, or Jacob, and Stalin later named his first-born son in Egnatashvili's honour.)[39] He also read Das Kapital, the 1867 book by German sociological theorist Karl Marx.[40] Stalin devoted himself to Marx's socio-political theory, Marxism,[41] which was then on the rise in Georgia, one of various forms of socialism opposed to the Tsarist empire's authorities.[42] At night, he attended secret workers' meetings[43] and was introduced to Silibistro ""Silva"" Jibladze, the Marxist founder of Mesame Dasi (""Third Group""), a Georgian socialist group.[44] Stalin left the seminary in April 1899 and never returned.[45]
",,,
"In October 1899, Stalin began work as a meteorologist at the Tiflis observatory.[46] He had a light workload and therefore had plenty of time for revolutionary activity. He attracted a group of supporters through his classes in socialist theory[47] and co-organised a secret workers' mass meeting for May Day 1900,[48] at which he successfully encouraged many of the men to take strike action.[49] By this point, the empire's secret police, the Okhrana, were aware of Stalin's activities in Tiflis' revolutionary milieu.[49] They attempted to arrest him in March 1901, but he escaped and went into hiding,[50] living off the donations of friends and sympathisers.[51] Remaining underground, he helped plan a demonstration for May Day 1901, in which 3,000 marchers clashed with the authorities.[52] He continued to evade arrest by using aliases and sleeping in different apartments.[53] In November 1901, he was elected to the Tiflis Committee of the Russian Social Democratic Labour Party (RSDLP), a Marxist party founded in 1898.[54]
",,,
"That month, Stalin travelled to the port city of Batumi.[55] His militant rhetoric proved divisive among the city's Marxists, some of whom suspected that he might be an agent provocateur working for the government.[56] He found employment at the Rothschild refinery storehouse, where he co-organised two workers' strikes.[57] After several strike leaders were arrested, he co-organised a mass public demonstration which led to the storming of the prison; troops fired upon the demonstrators, 13 of whom were killed.[58] Stalin organised another mass demonstration on the day of their funeral,[59] before being arrested in April 1902.[60] Held first in Batumi Prison[61] and then Kutaisi Prison,[62] in mid-1903 he was sentenced to three years of exile in eastern Siberia.[63]
",,,
"Stalin left Batumi in October, arriving at the small Siberian town of Novaya Uda in late November 1903.[64] There, he lived in a two-room peasant's house, sleeping in the building's larder.[65] He made two escape attempts: On the first, he made it to Balagansk before returning due to frostbite.[66] His second attempt, in January 1904, was successful and he made it to Tiflis.[67] There, he co-edited a Georgian Marxist newspaper, Proletariatis Brdzola (""Proletarian Struggle""), with Filipp Makharadze.[68] He called for the Georgian Marxist movement to split from its Russian counterpart, resulting in several RSDLP members accusing him of holding views contrary to the ethos of Marxist internationalism and calling for his expulsion from the party; he soon recanted his opinions.[69] During his exile, the RSDLP had split between Vladimir Lenin's ""Bolsheviks"" and Julius Martov's ""Mensheviks"".[70] Stalin detested many of the Mensheviks in Georgia and aligned himself with the Bolsheviks.[71] Although he established a Bolshevik stronghold in the mining town of Chiatura,[72] Bolshevism remained a minority force in the Menshevik-dominated Georgian revolutionary scene.[73]
",,,
"In January 1905, government troops massacred protesters in Saint Petersburg. Unrest soon spread across the Russian Empire in what came to be known as the Revolution of 1905.[75] Georgia was particularly affected.[76] Stalin was in Baku in February when ethnic violence broke out between Armenians and Azeris; at least 2,000 were killed.[77] He publicly lambasted the ""pogroms against Jews and Armenians"" as being part of Tsar Nicholas II's attempts to ""buttress his despicable throne"".[78] Stalin formed a Bolshevik Battle Squad which he used to try to keep Baku's warring ethnic factions apart; he also used the unrest as a cover for stealing printing equipment.[78] Amid the growing violence throughout Georgia he formed further Battle Squads, with the Mensheviks doing the same.[79] Stalin's squads disarmed local police and troops,[80] raided government arsenals,[81] and raised funds through protection rackets on large local businesses and mines.[82] They launched attacks on the government's Cossack troops and pro-Tsarist Black Hundreds,[83] co-ordinating some of their operations with the Menshevik militia.[84]
",,,
"In November 1905, the Georgian Bolsheviks elected Stalin as one of their delegates to a Bolshevik conference in Saint Petersburg.[85] On arrival, he met Lenin's wife Nadezhda Krupskaya, who informed him that the venue had been moved to Tampere in the Grand Duchy of Finland.[86] At the conference Stalin met Lenin for the first time.[87] Although Stalin held Lenin in deep respect, he was vocal in his disagreement with Lenin's view that the Bolsheviks should field candidates for the forthcoming election to the State Duma; Stalin saw the parliamentary process as a waste of time.[88] In April 1906, Stalin attended the RSDLP Fourth Congress in Stockholm; this was his first trip outside the Russian Empire.[89] At the conference, the RSDLP — then led by its Menshevik majority — agreed that it would not raise funds using armed robbery.[90] Lenin and Stalin disagreed with this decision[91] and later privately discussed how they could continue the robberies for the Bolshevik cause.[92]
",,,
"Stalin married Kato Svanidze in an Orthodox church ceremony at Senaki in July 1906.[93] In March 1907 she bore a son, Yakov.[94] By that year — according to the historian Robert Service — Stalin had established himself as ""Georgia's leading Bolshevik"".[95] He attended the Fifth RSDLP Congress, held at the Brotherhood Church in London in May–June 1907.[96] After returning to Tiflis, Stalin organised the robbing of a large delivery of money to the Imperial Bank in June 1907. His gang ambushed the armed convoy in Erivansky Square with gunfire and home-made bombs. Around 40 people were killed, but all of his gang escaped alive.[97] After the heist, Stalin settled in Baku with his wife and son.[98] There, Mensheviks confronted Stalin about the robbery and voted to expel him from the RSDLP, but he took no notice of them.[99]
",,,
"In Baku, Stalin secured Bolshevik domination of the local RSDLP branch[100] and edited two Bolshevik newspapers, Bakinsky Proletary and Gudok (""Whistle"").[101] In August 1907, he attended the Seventh Congress of the Second International — an international socialist organisation — in Stuttgart, German Empire.[102] In November 1907, his wife died of typhus,[103] and he left his son with her family in Tiflis.[104] In Baku he had reassembled his gang, the Outfit,[105] which continued to attack Black Hundreds and raised finances by running protection rackets, counterfeiting currency, and carrying out robberies.[106] They also kidnapped the children of several wealthy figures to extract ransom money.[107] In early 1908, he travelled to the Swiss city of Geneva to meet with Lenin and the prominent Russian Marxist Georgi Plekhanov, although the latter exasperated him.[108]
",,,
"In March 1908, Stalin was arrested and interned in Bailov Prison in Baku.[109] There he led the imprisoned Bolsheviks, organised discussion groups, and ordered the killing of suspected informants.[110] He was eventually sentenced to two years exile in the village of Solvychegodsk, Vologda Province, arriving there in February 1909.[111] In June, he escaped the village and made it to Kotlas disguised as a woman and from there to Saint Petersburg.[112] In March 1910, he was arrested again and sent back to Solvychegodsk.[113] There he had affairs with at least two women; his landlady, Maria Kuzakova, later gave birth to his second son, Konstantin.[114] In June 1911, Stalin was given permission to move to Vologda, where he stayed for two months,[115] having a relationship with Pelageya Onufrieva.[116] He escaped to Saint Petersburg,[117] where he was arrested in September 1911 and sentenced to a further three-year exile in Vologda.[118]
",,,
"In January 1912, while Stalin was in exile, the first Bolshevik Central Committee was elected at the Prague Conference.[119] Shortly after the conference, Lenin and Grigory Zinoviev decided to co-opt Stalin to the committee.[119] Still in Vologda, Stalin agreed, remaining a Central Committee member for the rest of his life.[120] Lenin believed that Stalin, as a Georgian, would help secure support for the Bolsheviks from the empire's minority ethnicities.[121] In February 1912, Stalin again escaped to Saint Petersburg,[122] tasked with converting the Bolshevik weekly newspaper, Zvezda (""Star"") into a daily, Pravda (""Truth"").[123] The new newspaper was launched in April 1912,[124] although Stalin's role as editor was kept secret.[124]
",,,
"In May 1912, he was arrested again and imprisoned in the Shpalerhy Prison, before being sentenced to three years exile in Siberia.[125] In July, he arrived at the Siberian village of Narym,[126] where he shared a room with a fellow Bolshevik Yakov Sverdlov.[127] After two months, Stalin and Sverdlov escaped back to Saint Petersburg.[128] During a brief period back in Tiflis, Stalin and the Outfit planned the ambush of a mail coach, during which most of the group — although not Stalin — were apprehended by the authorities.[129] Stalin returned to Saint Petersburg, where he continued editing and writing articles for Pravda.[130]
",,,
"After the October 1912 Duma elections, where six Bolsheviks and six Mensheviks were elected, Stalin wrote articles calling for reconciliation between the two Marxist factions, for which Lenin criticised him.[131] In late 1912, Stalin twice crossed into Austria-Hungary to visit Lenin in Kraków,[132] eventually bowing to Lenin's opposition to reunification with the Mensheviks.[133] In January 1913, Stalin travelled to Vienna,[134] where he researched the ""national question"" of how the Bolsheviks should deal with the Russian Empire's national and ethnic minorities.[135] Lenin, who encouraged Stalin to write an article on the subject,[136] wanted to attract those groups to the Bolshevik cause by offering them the right of secession from the Russian state, but also hoped they would remain part of a future Bolshevik-governed Russia.[137]
",,,
"Stalin's article Marxism and the National Question[138] was first published in the March, April, and May 1913 issues of the Bolshevik journal Prosveshcheniye;[139] Lenin was pleased with it.[140] According to Montefiore, this was ""Stalin's most famous work"".[137] The article was published under the pseudonym ""K. Stalin"",[140] a name he had used since 1912.[141] Derived from the Russian word for steel (stal),[142] this has been translated as ""Man of Steel"";[143] Stalin may have intended it to imitate Lenin's pseudonym.[144] Stalin retained the name for the rest of his life, possibly because it was used on the article that established his reputation among the Bolsheviks.[145]
",,,
"In February 1913, Stalin was arrested while back in Saint Petersburg.[146] He was sentenced to four years exile in Turukhansk, a remote part of Siberia from which escape was particularly difficult.[147] In August, he arrived in the village of Monastyrskoe, although after four weeks was relocated to the hamlet of Kostino.[148] In March 1914, concerned over a potential escape attempt, the authorities moved Stalin to the hamlet of Kureika on the edge of the Arctic Circle.[149] In the hamlet, Stalin had a relationship with Lidia Pereprygina, who was fourteen at the time but within the legal age of consent in Tsarist Russia.[150] In or about December 1914, their child was born but the infant soon died.[151] Their second child, Alexander, was born circa April 1917.[152]
",,,
"In Kureika, Stalin lived among the indigenous Tunguses and Ostyak peoples,[153] and spent much of his time fishing.[154]
",,,
"While Stalin was in exile, Russia entered the First World War, and in October 1916 Stalin and other exiled Bolsheviks were conscripted into the Russian Army, leaving for Monastyrskoe.[155] They arrived in Krasnoyarsk in February 1917,[156] where a medical examiner ruled Stalin unfit for military service because of his crippled arm.[157] Stalin was required to serve four more months of his exile, and he successfully requested that he serve it in nearby Achinsk.[158] Stalin was in the city when the February Revolution took place; uprisings broke out in Petrograd — as Saint Petersburg had been renamed — and Tsar Nicholas II abdicated to escape being violently overthrown. The Russian Empire became a de facto republic, headed by a Provisional Government dominated by liberals.[159] In a celebratory mood, Stalin travelled by train to Petrograd in March.[160] There, Stalin and a fellow Bolshevik Lev Kamenev assumed control of Pravda,[161] and Stalin was appointed the Bolshevik representative to the executive committee of the Petrograd Soviet, an influential council of the city's workers.[162] In April, Stalin came third in the Bolshevik elections for the party's Central Committee; Lenin came first and Zinoviev came second.[163] This reflected his senior standing in the party at the time.[164]
",,,
"The existing government of landlords and capitalists must be replaced by a new government, a government of workers and peasants.The existing pseudo-government which was not elected by the people and which is not accountable to the people must be replaced by a government recognised by the people, elected by representatives of the workers, soldiers and peasants and held accountable to their representatives.
",,,
"— Stalin's editorial in Pravda, October 1917[165]
",,,
"Stalin helped organise the July Days uprising, an armed display of strength by Bolshevik supporters.[166] After the demonstration was suppressed, the Provisional Government initiated a crackdown on the Bolsheviks, raiding Pravda.[167] During this raid, Stalin smuggled Lenin out of the newspaper's office and took charge of the Bolshevik leader's safety, moving him between Petrograd safe houses before smuggling him to Razliv.[168] In Lenin's absence, Stalin continued editing Pravda and served as acting leader of the Bolsheviks, overseeing the party's Sixth Congress, which was held covertly.[169] Lenin began calling for the Bolsheviks to seize power by toppling the Provisional Government in a coup d'état. Stalin and a fellow senior Bolshevik Leon Trotsky both endorsed Lenin's plan of action, but it was initially opposed by Kamenev and other party members.[170] Lenin returned to Petrograd and secured a majority in favour of a coup at a meeting of the Central Committee on 10 October.[171]
",,,
"On 24 October, police raided the Bolshevik newspaper offices, smashing machinery and presses; Stalin salvaged some of this equipment to continue his activities.[172] In the early hours of 25 October, Stalin joined Lenin in a Central Committee meeting in the Smolny Institute, from where the Bolshevik coup — the October Revolution — was directed.[173] Bolshevik militia seized Petrograd's electric power station, main post office, state bank, telephone exchange, and several bridges.[174] A Bolshevik-controlled ship, the Aurora, opened fire on the Winter Palace; the Provisional Government's assembled delegates surrendered and were arrested by the Bolsheviks.[175] Although he had been tasked with briefing the Bolshevik delegates of the Second Congress of Soviets about the developing situation, Stalin's role in the coup had not been publicly visible.[176] Trotsky and other later Bolshevik opponents of Stalin used this as evidence that his role in the coup had been insignificant, although later historians reject this.[177] According to the historian Oleg Khlevniuk, Stalin ""filled an important role [in the October Revolution]... as a senior Bolshevik, member of the party's Central Committee, and editor of its main newspaper"";[178] the historian Stephen Kotkin similarly noted that Stalin had been ""in the thick of events"" in the build-up to the coup.[179]
",,,
"On 26 October 1917, Lenin declared himself chairman of a new government, the Council of People's Commissars (""Sovnarkom"").[180] Stalin backed Lenin's decision not to form a coalition with the Mensheviks and Socialist Revolutionary Party, although they did form a coalition government with the Left Socialist-Revolutionaries.[181] Stalin became part of an informal foursome leading the government, alongside Lenin, Trotsky, and Sverdlov.[182] Stalin's office was based near to Lenin's in the Smolny Institute,[183] and he and Trotsky were the only individuals allowed access to Lenin's study without an appointment.[184] Although not so publicly well known as Lenin or Trotsky,[185] Stalin's importance among the Bolsheviks grew.[186] He co-signed Lenin's decrees shutting down hostile newspapers,[187] and along with Sverdlov, he chaired the sessions of the committee drafting a constitution for the new Russian Soviet Federative Socialist Republic.[188] He strongly supported Lenin's formation of the Cheka security service and the subsequent Red Terror that it initiated; noting that state violence had proved an effective tool for capitalist powers, he believed that it would prove the same for the Soviet government.[189] Unlike senior Bolsheviks like Kamenev and Nikolai Bukharin, Stalin never expressed concern about the rapid growth and expansion of the Cheka and Red Terror.[189]
",,,
"Having dropped his editorship of Pravda,[190] Stalin was appointed the People's Commissar for Nationalities.[191] He took Nadezhda Alliluyeva as his secretary[192] and at some point, married her, although the wedding date is unknown.[193] In November 1917, he signed the Decree on Nationality, according ethnic and national minorities living in Russia the right of secession and self-determination.[194] The decree's purpose was primarily strategic; the Bolsheviks wanted to gain favour among ethnic minorities but hoped that the latter would not actually desire independence.[195] That month, he travelled to Helsingfors to talk with the Finnish Social Democrats, granting Finland's request for independence in December.[195] His department allocated funds for establishment of presses and schools in the languages of various ethnic minorities.[196] Socialist revolutionaries accused Stalin's talk of federalism and national self-determination as a front for Sovnarkom's centralising and imperialist policies.[188]
",,,
"Because of the ongoing First World War, in which Russia was fighting the Central Powers of Germany and Austria-Hungary, Lenin's government relocated from Petrograd to Moscow in March 1918. Stalin, Trotsky, Sverdlov, and Lenin lived at the Kremlin.[197] Stalin supported Lenin's desire to sign an armistice with the Central Powers regardless of the cost in territory.[198] Stalin thought it necessary because — unlike Lenin — he was unconvinced that Europe was on the verge of proletarian revolution.[199] Lenin eventually convinced the other senior Bolsheviks of his viewpoint, resulting in the signing of the Treaty of Brest-Litovsk in March 1918.[200] The treaty gave vast areas of land and resources to the Central Powers and angered many in Russia; the Left Socialist-Revolutionaries withdrew from the coalition government over the issue.[201] The governing RSDLP party was soon renamed, becoming the Russian Communist Party.[202]
",,,
"After the Bolsheviks seized power, both right and left-wing armies rallied against them, generating the Russian Civil War.[203] In May 1918, amid a dwindling food supply, Sovnarkom sent Stalin to Tsaritsyn to take charge of food procurement in Southern Russia.[204] Eager to prove himself as a commander,[205] once there he took control of regional military operations.[206] He befriended two military figures, Kliment Voroshilov and Semyon Budyonny, who would form the nucleus of his military and political support base.[207] Believing that victory was assured by numerical superiority, he sent large numbers of Red Army troops into battle against the region's anti-Bolshevik White armies, resulting in heavy losses; Lenin was concerned by this costly tactic.[208] In Tsaritsyn, Stalin commanded the local Cheka branch to execute suspected counterrevolutionaries, sometimes without trial[209] and — in contravention of government orders — purged the military and food collection agencies of middle-class specialists, some of whom he also executed.[210] His use of state violence and terror was at a greater scale than most Bolshevik leaders approved of;[211] for instance, he ordered several villages to be torched to ensure compliance with his food procurement program.[212]
",,,
"In December 1918, Stalin was sent to Perm to lead an inquiry into how Alexander Kolchak's White forces had been able to decimate Red troops based there.[213] He returned to Moscow between January and March 1919,[214] before being assigned to the Western Front at Petrograd.[215] When the Red Third Regiment defected, he ordered the public execution of captured defectors.[214] In September, he was returned to the Southern Front.[214] During the war, he proved his worth to the Central Committee, displaying decisiveness, determination, and willingness to take on responsibility in conflict situations.[205] At the same time, he disregarded orders and repeatedly threatened to resign when affronted.[216] He was reprimanded by Lenin at the 8th Party Congress for employing tactics which resulted in far too many deaths of Red Army soldiers.[217] In November 1919, the government nonetheless awarded him the Order of the Red Banner for his wartime service.[218]
",,,
"The Bolsheviks won the Russian Civil War by the end of 1919.[219] By that time, Sovnarkom had turned its attention to spreading proletarian revolution abroad, to this end forming the Communist International in March 1919; Stalin attended its inaugural ceremony.[220] Although Stalin did not share Lenin's belief that Europe's proletariat were on the verge of revolution, he acknowledged that as long as it stood alone, Soviet Russia remained vulnerable.[221] In December 1918, he drew up decrees recognising Marxist-governed Soviet republics in Estonia, Lithuania, and Latvia;[222] during the civil war these Marxist governments were overthrown and the Baltic countries became fully independent of Russia, an act Stalin regarded as illegitimate.[223] In February 1920, he was appointed to head the Workers' and Peasants' Inspectorate;[224] that same month he was also transferred to the Caucasian Front.[225]
",,,
"Following earlier clashes between Polish and Russian troops, the Polish–Soviet War broke out in early 1920, with the Poles invading Ukraine and taking Kiev on 7 May.[226] On 26 May, Stalin was moved to Ukraine, on the Southwest Front.[227] The Red Army retook Kiev on 10 June and soon forced the Polish troops back into Poland.[228] On 16 July, the Central Committee decided to take the war into Polish territory.[229] Lenin believed that the Polish proletariat would rise up to support the Russians against Józef Piłsudski's Polish government.[229] Stalin had cautioned against this; he believed that nationalism would lead the Polish working-classes to support their government's war effort.[229] He also believed that the Red Army was ill-prepared to conduct an offensive war and that it would give White armies a chance to resurface in Crimea, potentially reigniting the civil war.[229] Stalin lost the argument, after which he accepted Lenin's decision and supported it.[225] Along the Southwest Front, he became determined to conquer Lvov; in focusing on this goal, he disobeyed orders in early August to transfer his troops to assist Mikhail Tukhachevsky's forces that were attacking Warsaw.[230]
",,,
"In mid-August 1920, the Poles repulsed the Russian advance, and Stalin returned to Moscow to attend the Politburo meeting.[231] Tukhachevsky blamed Stalin for his defeat at the Battle of Warsaw.[232] In Moscow, Lenin and Trotsky also blamed him for his behaviour in the Polish–Soviet War.[233] Stalin felt humiliated and under-appreciated; on 17 August, he demanded demission from the military, which was granted on 1 September.[234] At the 9th Bolshevik Conference in late September, Trotsky accused Stalin of ""strategic mistakes"" in his handling of the war.[235] Trotsky claimed that Stalin sabotaged the campaign by disobeying troop transfer orders.[236] Lenin joined Trotsky in criticising him, and nobody spoke on his behalf at the conference.[237] Stalin felt disgraced and his antipathy toward Trotsky increased.[217] The Polish–Soviet War ended on 18 March 1921, when a peace treaty was signed in Riga.[238]
",,,
"The Soviet government sought to bring neighbouring states under its domination; in February 1921 it invaded the Menshevik-governed Georgia,[239] while in April 1921, Stalin ordered the Red Army into Turkestan to reassert Russian state control.[240] As People's Commissar for Nationalities, Stalin believed that each national and ethnic group should have the right to self-expression,[241] facilitated through ""autonomous republics"" within the Russian state in which they could oversee various regional affairs.[242] In taking this view, some Marxists accused him of bending too much to bourgeois nationalism, while others accused him of remaining too Russocentric by seeking to retain these nations within the Russian state.[241]
",,,
"Stalin's native Caucasus posed a particular problem because of its highly multi-ethnic mix.[243] Stalin opposed the idea of separate Georgian, Armenian, and Azeri autonomous republics, arguing that these would likely oppress ethnic minorities within their respective territories; instead, he called for a Transcaucasian Socialist Federative Soviet Republic.[244] The Georgian Communist Party opposed the idea, resulting in the Georgian affair.[245] In mid-1921, Stalin returned to the South Caucasus, there calling on Georgian communists to avoid the chauvinistic Georgian nationalism which marginalised the Abkhazian, Ossetian, and Adjarian minorities in Georgia.[246] On this trip, Stalin met with his son Yakov, and brought him back to Moscow;[247] Nadezhda had given birth to another of Stalin's sons, Vasily, in March 1921.[247]
",,,
"After the civil war, workers' strikes and peasant uprisings broke out across Russia, largely in opposition to Sovnarkom's food requisitioning project; as an antidote, Lenin introduced market-oriented reforms: the New Economic Policy (NEP).[248] There was also internal turmoil in the Communist Party, as Trotsky led a faction calling for abolition of trade unions; Lenin opposed this, and Stalin helped rally opposition to Trotsky's position.[249] Stalin also agreed to supervise the Department of Agitation and Propaganda in the Central Committee Secretariat.[250] At the 11th Party Congress in 1922, Lenin nominated Stalin as the party's new General Secretary. Although concerns were expressed that adopting this new post on top of his others would overstretch his workload and give him too much power, Stalin was appointed to the position.[251] For Lenin, it was advantageous to have a key ally in this crucial post.[252]
",,,
"Stalin is too crude, and this defect which is entirely acceptable in our milieu and in relationships among us as communists, becomes unacceptable in the position of General Secretary. I therefore propose to comrades that they should devise a means of removing him from this job and should appoint to this job someone else who is distinguished from comrade Stalin in all other respects only by the single superior aspect that he should be more tolerant, more polite and more attentive towards comrades, less capricious, etc.
",,,
"— Lenin's Testament, 4 January 1923;[253] this was possibly composed by Krupskaya rather than Lenin himself.[254]
",,,
